State	$ID	$int	$void	$if	$else	$while	$return	$+	$-	$*	$/	$=	$==	$>	$>=	$<	$<=	$!=	$LeftArray	$RightArray	$;	$,	$LeftAnno	$RightAnno	$Anno	$(	$)	${	$}	$number	$end	$empty	$Program0	$Program	<N>	<声明串>	<A>	<M>	<声明>	<声明类型>	<函数声明>	<形参>	<语句块>	<参数列表>	<参数>	<内部声明>	<语句串>	<内部变量声明>	<语句>	<if语句>	<while语句>	<return语句>	<assign语句>	<表达式>	<加法表达式>	<比较运算符>	<项>	<因子>	<实参列表>
74								r45	r45				r45	r45	r45	r45	r45	r45									r45																																
75								r44	r44				r44	r44	r44	r44	r44	r44									r44																																
76	s65																									s66				s67																									s79		s70	s71	
77	s65																									s66				s67																									s78		s70	s71	
78													r42	r42	r42	r42	r42	r42									r42																																
79													r41	r41	r41	r41	r41	r41									r41																																
80								r47	r47	r47	r47		r47	r47	r47	r47	r47	r47			r47																																						
81	s65																									s66				s67																									s82		s70	s71	
82													r33	r33	r33	r33	r33	r33									r33																																
83													s56	s57	s58	s59	s60	s61									s84																													s81			
84								r47	r47	r47	r47		r47	r47	r47	r47	r47	r47									r47																																
85	s86																									s87	r50			s88																								s89	s90		s91	s92	s93
86								r49	r49	r49	r49		r49	r49	r49	r49	r49	r49				r49				s109	r49																																
87	s65																									s66				s67																								s107	s69		s70	s71	
88								r46	r46	r46	r46		r46	r46	r46	r46	r46	r46				r46					r46																																
89													s56	s57	s58	s59	s60	s61				s103					r51																													s104			
90													r32	r32	r32	r32	r32	r32				r32					r32																																
91								s99	s100				r40	r40	r40	r40	r40	r40				r40					r40																																
92								r43	r43	s95	s96		r43	r43	r43	r43	r43	r43				r43					r43																																
93																											s94																																
94								r48	r48	r48	r48		r48	r48	r48	r48	r48	r48									r48																																
95	s86																									s87				s88																											s98	s92	
96	s86																									s87				s88																											s97	s92	
97								r45	r45				r45	r45	r45	r45	r45	r45				r45					r45																																
98								r44	r44				r44	r44	r44	r44	r44	r44				r44					r44																																
99	s86																									s87				s88																									s102		s91	s92	
100	s86																									s87				s88																									s101		s91	s92	
101													r42	r42	r42	r42	r42	r42				r42					r42																																
102													r41	r41	r41	r41	r41	r41				r41					r41																																
103	s86																									s87	r50			s88																								s89	s90		s91	s92	s106
104	s86																									s87				s88																									s105		s91	s92	
105													r33	r33	r33	r33	r33	r33				r33					r33																																
106																											r52																																
107													s56	s57	s58	s59	s60	s61									s108																													s81			
108								r47	r47	r47	r47		r47	r47	r47	r47	r47	r47				r47					r47																																
109	s86																									s87	r50			s88																								s89	s90		s91	s92	s110
110																											s111																																
111								r48	r48	r48	r48		r48	r48	r48	r48	r48	r48				r48					r48																																
112	s86																									s87	r50			s88																								s89	s90		s91	s92	s113
113																											s114																																
114								r48	r48	r48	r48		r48	r48	r48	r48	r48	r48			r48																																						
115																										s116																																	
116	s65																									s66				s67																								s117	s69		s70	s71	
117													s56	s57	s58	s59	s60	s61									s118																													s81			
118																												r1									s119																						
119																												s120															s121																
120	r17	s23		r17		r17	r17																																							s122		s25											
121	r29			r29		r29	r29																						r29																														
122	s27			s28		s29	s30																																								s123		s32	s33	s34	s35	s36						
123																													s124																														
124	r16			r16		r16	r16																						r16																														
125	s65																									s66				s67																								s126	s69		s70	s71	
126													s56	s57	s58	s59	s60	s61									s127																													s81			
127																												r1									s128																						
128																												s129															s130																
129	r17	s23		r17		r17	r17																																							s136		s25											
130	r30			r30	r2	r30	r30																						r30						s131																								
131					s132																																																						
132																												r3										s133																					
133																												r1									s134																						
134																												s120															s135																
135	r31			r31		r31	r31																						r31																														
136	s27			s28		s29	s30																																								s137		s32	s33	s34	s35	s36						
137																													s138																														
138	r16			r16	r16	r16	r16																						r16																														
139	s40																									s42				s43																								s140	s45		s46	s47	
140													s56	s57	s58	s59	s60	s61			s141																																			s63			
141	r26			r26		r26	r26																						r26																														
142																					s143																																						
143	r19	r19		r19		r19	r19																																																				
144																						r15					r15																																
145																					s146					r3												s147		s148																			
146		r9	r9																												r9																												
147																										r1											s149																						
148		r6	r6																												r6																												
149																										s11															s150																		
150		r8	r8																												r8																												
